"P_S1","P_S2","P_S3","P_S4"
28572.0,37561.0,36269.0,40668.0
28085.0,40069.0,35752.0,38525.0
26100.0,40465.0,35705.0,35209.0
24266.0,39759.0,36456.0,30887.0
22764.0,39210.0,36383.0,26638.0
22314.0,38553.0,35368.0,24150.0
22881.0,37496.0,34276.0,23510.0
23273.0,36911.0,33193.0,23113.0
24127.0,36866.0,32339.0,22606.0
26707.0,37880.0,31088.0,22675.0
29600.0,39051.0,27357.0,24279.0
31875.0,39628.0,24451.0,29598.0
33371.0,39975.0,23339.0,35695.0
33657.0,40418.0,22641.0,37001.0
33665.0,37415.0,22261.0,36311.0
34363.0,33701.0,21809.0,34978.0
36863.0,29736.0,22415.0,33922.0
37833.0,26795.0,26388.0,33045.0
36522.0,27103.0,31344.0,32041.0
34770.0,27273.0,33290.0,31729.0
32860.0,26447.0,33404.0,32127.0
30320.0,25489.0,32744.0,34075.0
28113.0,25705.0,32615.0,36028.0
25446.0,27430.0,32240.0,37547.0
24830.0,30288.0,31933.0,39418.0
24131.0,33115.0,31792.0,37059.0
23162.0,35050.0,31694.0,34005.0
22199.0,35809.0,32540.0,30554.0
21571.0,35972.0,32932.0,26834.0
22232.0,35802.0,32399.0,24371.0
24968.0,35084.0,31778.0,23522.0
28143.0,34704.0,30765.0,22858.0
30947.0,34559.0,30216.0,22249.0
33508.0,35292.0,29182.0,21996.0
34367.0,36918.0,25978.0,22460.0
34776.0,37169.0,23189.0,24808.0
34762.0,37074.0,21783.0,27937.0
34674.0,36852.0,21033.0,31226.0
35204.0,34642.0,20611.0,32718.0
36633.0,31765.0,20209.0,32526.0
41334.0,28253.0,19945.0,31994.0
43920.0,25595.0,21641.0,31345.0
42990.0,25885.0,24535.0,30424.0
40694.0,25813.0,27585.0,29673.0
37846.0,25123.0,29304.0,29762.0
34921.0,24410.0,29305.0,31353.0
31826.0,24323.0,28717.0,33980.0
28858.0,25677.0,27655.0,35837.0
27788.0,28201.0,26449.0,36954.0
27068.0,31279.0,25568.0,34630.0
25740.0,33476.0,25186.0,32111.0
24667.0,33842.0,25996.0,29391.0
23866.0,33680.0,27472.0,26256.0
24171.0,33346.0,28362.0,23682.0
26126.0,32412.0,28493.0,22903.0
28431.0,31524.0,28142.0,22261.0
31675.0,31225.0,28113.0,21594.0
35417.0,32047.0,28020.0,21185.0
37708.0,33807.0,25787.0,21454.0
38685.0,34740.0,23328.0,22864.0
38991.0,35225.0,22022.0,24695.0
38452.0,35615.0,21006.0,27607.0
37817.0,33929.0,20373.0,29390.0
38128.0,31322.0,19692.0,29977.0
41579.0,28217.0,19114.0,29853.0
44245.0,25723.0,19943.0,29612.0
43267.0,25937.0,21758.0,28904.0
40968.0,25881.0,24678.0,28678.0
38449.0,25033.0,27499.0,29528.0
35782.0,24237.0,28879.0,31518.0
33219.0,24077.0,29145.0,33837.0
30565.0,24555.0,29150.0,36092.0
29776.0,26155.0,27910.0,37095.0
28847.0,28250.0,26949.0,34595.0
