"P1_S1","P1_S2","P1_S3","P1_S4","P2_S1","P2_S2","P2_S3","P2_S4","P3_S1","P3_S2","P3_S3","P3_S4"
0.588,0.206,0.113,0.137,0.588,0.206,0.113,0.137,0.0,0.0187,0.2759,0.0072
0.599,0.18,0.107,0.13,0.599,0.18,0.107,0.13,0.0,0.058,0.2994,0.0
0.599,0.149,0.103,0.125,0.599,0.149,0.103,0.125,0.0,0.1106,0.3573,0.0
0.603,0.127,0.105,0.119,0.603,0.127,0.105,0.119,0.0,0.1644,0.3731,0.0
0.573,0.106,0.108,0.115,0.573,0.106,0.108,0.115,0.0,0.1846,0.2994,0.0
0.555,0.088,0.107,0.126,0.555,0.088,0.107,0.126,0.0,0.2089,0.2138,0.0
0.591,0.081,0.099,0.118,0.591,0.081,0.099,0.118,0.0,0.224,0.1614,0.0
0.593,0.077,0.085,0.109,0.593,0.077,0.085,0.109,0.0,0.211,0.086,0.0
0.598,0.071,0.079,0.104,0.598,0.071,0.079,0.104,0.0016,0.1694,0.0214,0.0
0.644,0.084,0.08,0.111,0.644,0.084,0.08,0.111,0.0081,0.1184,0.0018,0.0
0.685,0.092,0.083,0.114,0.685,0.092,0.083,0.114,0.0193,0.0715,0.0,0.0
0.769,0.1,0.093,0.113,0.769,0.1,0.093,0.113,0.0278,0.0334,0.0,0.0
0.806,0.103,0.087,0.099,0.806,0.103,0.087,0.099,0.0303,0.0098,0.0,0.009
0.835,0.126,0.079,0.094,0.835,0.126,0.079,0.094,0.0258,0.0012,0.0,0.0609
0.824,0.145,0.07,0.094,0.824,0.145,0.07,0.094,0.0178,0.0,0.0,0.17
0.85,0.165,0.066,0.111,0.85,0.165,0.066,0.111,0.008,0.0,0.0001,0.3046
0.867,0.196,0.06,0.118,0.867,0.196,0.06,0.118,0.0015,0.0,0.0209,0.4099
0.854,0.221,0.057,0.11,0.854,0.221,0.057,0.11,0.0,0.0,0.0929,0.4737
0.878,0.244,0.058,0.095,0.878,0.244,0.058,0.095,0.0,0.0,0.1993,0.5013
0.883,0.266,0.069,0.083,0.883,0.266,0.069,0.083,0.0,0.0,0.3417,0.4782
0.876,0.287,0.083,0.073,0.876,0.287,0.083,0.073,0.0,0.0,0.4697,0.4058
0.891,0.306,0.103,0.066,0.891,0.306,0.103,0.066,0.0,0.0,0.5929,0.2977
0.905,0.323,0.12,0.06,0.905,0.323,0.12,0.06,0.0,0.0,0.68,0.1635
0.913,0.341,0.139,0.06,0.913,0.341,0.139,0.06,0.0,0.0003,0.7252,0.0505
0.902,0.357,0.165,0.059,0.902,0.357,0.165,0.059,0.0,0.0065,0.7026,0.0061
0.892,0.373,0.193,0.058,0.892,0.373,0.193,0.058,0.0,0.0242,0.6395,0.0
0.869,0.236,0.225,0.058,0.869,0.236,0.225,0.058,0.0,0.0532,0.5428,0.0
0.871,0.186,0.256,0.055,0.871,0.186,0.256,0.055,0.0,0.089,0.4397,0.0
0.869,0.177,0.281,0.052,0.869,0.177,0.281,0.052,0.0,0.1192,0.3439,0.0
0.848,0.176,0.298,0.052,0.848,0.176,0.298,0.052,0.0,0.1366,0.2567,0.0
0.81,0.186,0.298,0.046,0.81,0.186,0.298,0.046,0.0,0.1314,0.1402,0.0
0.79,0.203,0.296,0.042,0.79,0.203,0.296,0.042,0.0005,0.1056,0.0553,0.0
0.782,0.216,0.305,0.039,0.782,0.216,0.305,0.039,0.0023,0.0896,0.0127,0.0
0.795,0.225,0.316,0.04,0.795,0.225,0.316,0.04,0.0301,0.0806,0.0011,0.0
0.776,0.225,0.326,0.04,0.776,0.225,0.326,0.04,0.0795,0.0524,0.0,0.0
0.79,0.22,0.34,0.04,0.79,0.22,0.34,0.04,0.131,0.0294,0.0,0.0
0.808,0.207,0.337,0.038,0.808,0.207,0.337,0.038,0.1475,0.0114,0.0,0.0073
0.779,0.2,0.33,0.039,0.779,0.2,0.33,0.039,0.1285,0.0017,0.0,0.0527
0.709,0.197,0.321,0.039,0.709,0.197,0.321,0.039,0.092,0.0,0.0,0.133
